empty,field_opp_no,field_opp_primary_at,field_opp_primary_vt,field_opp_source,field_opp_ideation_date,field_opp_context_field,field_opp_theme,field_opp_description,field_opp_tcv_range,field_opp_tcv_est,field_opp_stakeholder,field_opp_decision_maker,field_opp_potential_competitor,field_opp_comments
,1587,Toyota,Auto,Infosys,10/1/2018,,IoT in Mfr - Mfr operations,"Modernise digital dashboards for real-time tracking and display of KPIs (e.g. completed vs target production, quality defects, etc.)",,1,Sandy Lobenstein Trevor White Jay Shelton,,,>8-10 months
,1588,Toyota,Auto,Infosys,10/1/2018,,IoT in facility engineering,Deploy smart water sensors that significantly increases water quality and sensors on alternate energy sources as part of smart building systems,,5,Sandy Lobenstein Trevor White Ken Stamper,,,>8-10 months
,1589,Toyota,Auto,Infosys,10/1/2018,,Connected cars,"Integrate 3rd party sellers (e.g. Delivery cos, retailers, restaurants etc.)  via APIs for remote services and earn revenue share from in car purchases ",,75,"Brian Innouye, TNMA Sharan Lota, Car of post 17, Head of Infotainment, TNMA",,,>8-10 months
,1590,Toyota,Auto,Infosys,10/1/2018,,Connected cars,"Build multi modal mobility platform to serve the customer ""beyond the car"" to include 3rd party mobility services for a fee (e.g. rentals, ride hailing cos etc) ",,75,Steve Basra,,,>8-10 months
,1591,Toyota,Auto,Infosys,10/1/2018,,Connected cars,"Build smart data analytics engine to assist Toyota in monetizing voice assistant tech in connected cars - e.g. concierce services (e.g. Walmart, Uber), customer profile data sharing with 3rd party corps (e.g. Insurance cos, social media cos, Banks etc)",,15,"Steve Basra, TC GK Senthil, Chief Product Owner, TC Brian Innouye, TNMA",,,<6 months
,1593,Toyota,Auto,Infosys,10/1/2018,,Connected cars,Design and deploy sensors system for vehicle condition monitoring to provide data insights on items such as driver assistance,,5,Steve Basra,,,<6 months
,1594,Toyota,Auto,Infosys,10/1/2018,,Connected cars,Partner with Toyota to develop all modality UI/UX interface (Given recent removal of incumbent vendor) for meeting end to end specs requirements and enhancing customer vehicle experience,,20,Steve Basra,,,<6 months
,1595,Toyota,Auto,Infosys,10/1/2018,,Connected Trucks and SUVs,"Create technology architecture and build APIs for various third parties users, e.g., For fleet owners to be incorporated in their fleet management and provide value add services to their customers like maintenance status, etc. For trucks and SUVs - key to tailor to relevant use cases e.g. 'U-haul on demand' etc.",,50,"Brian Innouye, TNMA ",,,12-18 months
,1596,Toyota,Auto,Infosys,10/1/2018,,Smart mobility,"Create 'customized connected car' for fleet to be rolled onto a car sharing platform - expose APIs to change owner/HuD and allow customers to leverage connectivity feautures during rentals, and also build a centralized platform for fleet owners to manage fleet composed of varying OEMs cars",,10,"Steve Basra,  Powell Kinney, Key product owner - Mobility Services Platform, TC",,,>8-10 months
,1597,Toyota,Auto,Infosys,10/1/2018,,Shared mobility,Scale of current car sharing subscription platform to dealerships/fleet managers while enabling compartmentalise for each dealership while developing feature of ensuring common back end integration at the OEM,,20,"Steve Basra, TC <Need to add stakeholder from TN retail>",,,>8-10 months
,1598,Toyota,Auto,Infosys,10/1/2018,,Vehicle security,Design a data analytics engine to enhance on board network security so as to detect abnormal traffic behavior and report back to TC,,5,"Sharan Lota, Car of post 17, Head of Infotainment, TNMA",,,<6 months
,1599,Toyota,Auto,Infosys,10/1/2018,,Vehicle security,Design of an intrusion detection system to secure electronic control unit security inclusive of the infotainment and telematics security,,5,Steve Basra,,,Immediate
,1600,Daimler,Auto,Infosys,11/2/2018,,Cross Cutting across all divisions,"PBK Project:
Displace one of the two existing PBK suppliers that has lost favor with Daimler – replacement search is active - Even though preference is towards a supplier with prior experience in supply chain and operations, Infosys can leverage Inga von Bibra relationship",,17,"Gerhard Schiele
Inga von Bibra",,,Immediate
,1601,Daimler,Auto,Infosys,11/2/2018,,Cross Cutting across all divisions,"Cloud Infra:
Moving data for non-critical processes for each manufacturing plant to the public cloud  idea currently being piloted in Sindelfingen, which will act as a blueprint for all other plants if successful
",,17,"Inga von Bibra
Gabrielle Ruf",,,Immediate
,1602,Daimler,Auto,Infosys,11/2/2018,,Cross Cutting across all divisions,"Upgrade & renewal of iPro systems
iPro are maintenance systems used in plant manufacturing; expected to need major upgrade soon",,6,Inga von Bibra,,,3m
,1603,Daimler,Auto,Infosys,11/2/2018,,Cross Cutting across all divisions,"Sale of insights to 3rd parties from connected cars:  
Use data present in existing data lake, create an abstraction layer on top of it to offer insights and data to 3rd parties such as dealers, shopping complexes, restaurants, etc.

This data especially does not flow to the dealers (Tim's Dilawri example).
Fleet owners do not want multiple systems for different OEMs",,23,"Lutz Beck
Meleah McPherson",,,3-6m
,1604,Daimler,Auto,Infosys,11/2/2018,,Cross Cutting across all divisions,"SAP / HANA (for Detroit Diesel) and App maintenance (for Thomas Build Buses):
Contracts expected to be up for renewal in next 12 months; there is potential to displace HP and become a preferred partner for these companies",,17,"Lutz Beck
CIO, TBB
CIO, Detroit Diesel",,,12m
,1605,Daimler,Auto,Infosys,11/2/2018,,Cross Cutting across all divisions,"The 1 North America Opportunity:
App consoldation in Canada & Mexico for CV & PV division",,6,Lutz Beck,,,3-6m
,1606,Daimler,Auto,Infosys,11/2/2018,,Cross Cutting across all divisions,"Outbound logistics:
Integrate disparate SCM systems into one master system, build backend analytics and roll out to global assets for the passenger vehicles division with the objective to achieve JIT delivery of vehicles & spare parts and save logsitcs as well as inventory cost;  Project recently started in Sindelfingen, currently in design stage
Scope - vehicles (not spare parts)",,28,#NAME?,,,3-6m
,1607,Daimler,Auto,Infosys,11/2/2018,,Cross Cutting across all divisions,"Spare Parts:
Develop / Replace Spare Parts management & ordering system by using real time data from plants and dealerships / workshops to ensure availability of spare parts at the right time across the globe to prevent revenue leakage 
",,34,,,,3m
,1608,Daimler,Auto,Infosys,11/2/2018,,Machine Overall Equipment Effectiveness (OEE) - IoT hardware and software infrastructure,"Predictive maintenance by equipping machinery with IoT sensors (vibration, atmospheric, gyroscope, viscometers, etc.) which and create back end software to continuously monitor real-time state of the machine and run diagnostics to minimize machine downtime / improve MTTR",,34,"Passenger Vehicles: Inga von Bibra 
Merc benz trucks - Yoerg Schwuthow
DTNA and Freightliner -- Lutz Beck
Merc Benz Vans - Klaus Oster
Daimler buses - Thomas Meier",,,Immediate
,1609,Daimler,Auto,Infosys,11/2/2018,,Machine Overall Equipment Effectiveness (OEE) - IoT hardware and software infrastructure,"Smart Production Line / Quality Testing by deployment of camera sensors in inspection phase (monitor line quality, measuring dimensions of components, RCA, etc.) and create back end software to reduce use of parts that do not meet quality standards",,11,"Passenger Vehicles: Inga von Bibra 
Merc benz trucks - Yoerg Schwuthow
DTNA and Freightliner -- Lutz Beck
Merc Benz Vans - Klaus Oster
Daimler buses - Thomas Meier",,,Immediate
,1610,Daimler,Auto,Infosys,11/2/2018,,Innovation in overall Plant Production & Quality,"Digital Performance Management of plant / departments using digital dashboards for real time tracking and display of KPIs (completed v/s target production, quality defects, etc.) for continuous improvement of plant processes and real time red alerts for critical KPIs",,11,"Passenger Vehicles: Inga von Bibra 
Merc benz trucks - Yoerg Schwuthow
DTNA and Freightliner -- Lutz Beck
Merc Benz Vans - Klaus Oster
Daimler buses - Thomas Meier",,,3-6 m
,1611,Daimler,Auto,Infosys,11/2/2018,,Innovation in overall Plant Production & Quality,Real time measurement of machine performance by eliminating manual intervention by using sensors to constantly measure and optimize machine parameters to achieve higher throughput,,11,"Passenger Vehicles: Inga von Bibra 
Merc benz trucks - Yoerg Schwuthow
DTNA and Freightliner -- Lutz Beck
Merc Benz Vans - Klaus Oster
Daimler buses - Thomas Meier",,,Immediate
,1612,Daimler,Auto,Infosys,11/2/2018,,Innovation in overall Plant Production & Quality,"Build digital / AR machine repair assistance software using AR imaging tools for operators in error prone manual tasks and digitized audio-video tools to provide step-by-step instructions for complex factory tasks to achieve better mean time to repair / better quality of repair (also enables distance-repair, whereby an expert in another plant can see exactly what the onsite technician sees and guide them through the process) 
",,11,"Passenger Vehicles: Inga von Bibra 
Merc benz trucks - Yoerg Schwuthow
DTNA and Freightliner -- Lutz Beck
Merc Benz Vans - Klaus Oster
Daimler buses - Thomas Meier",,,>18m
,1613,Daimler,Auto,Infosys,11/2/2018,,Innovation in overall Plant Production & Quality,"Create software for Finished Goods Inspection using machine vision to detect anomalies indetectable to the human eye (especially important when evaluating fit and finish of the paint and interior surfaces) to achieve higher quality control / lower recalls or customer complaints -- yet to explore the hardware requirements for this opportunity
",,11,"Passenger Vehicles: Inga von Bibra 
Merc benz trucks - Yoerg Schwuthow
DTNA and Freightliner -- Lutz Beck
Merc Benz Vans - Klaus Oster
Daimler buses - Thomas Meier",,,6-12m
,1614,Daimler,Auto,Infosys,11/2/2018,,Innovation in overall Plant Production & Quality,"Create software to operate automated spray paint booth  by using machines, temperature, humidity & vibration sensors along with HD cameras  to reduce wastage of paint ",,11,"Passenger Vehicles: Inga von Bibra 
Merc benz trucks - Yoerg Schwuthow
DTNA and Freightliner -- Lutz Beck
Merc Benz Vans - Klaus Oster
Daimler buses - Thomas Meier",,,6m
,1615,Daimler,Auto,Infosys,11/2/2018,,Innovation in overall Plant Production & Quality,"Upgrade / augment order management system to achieve efficieny in purchasing supply chain process by integrating factory floor control and IoT systems from major industrial players (Bosch, GE, etc.) using pre-installed control systems, cameras, sensors, etc. to evaluate real time data from multiple machines and vendors to achieve precision in availability of raw materials and better planning",,11,"Passenger Vehicles: Inga von Bibra 
Merc benz trucks - Yoerg Schwuthow
DTNA and Freightliner -- Lutz Beck
Merc Benz Vans - Klaus Oster
Daimler buses - Thomas Meier",,,>24m
,1616,Daimler,Auto,Infosys,11/2/2018,,Innovation in overall Plant Production & Quality,Deploy and create RFID Inventory Tracking & Optimization by monitoring inventory at each stage of the production process and using AI/ML tools for just-in-time inventory management to reduce cost of inventory,,11,"Passenger Vehicles: Inga von Bibra 
Merc benz trucks - Yoerg Schwuthow
DTNA and Freightliner -- Lutz Beck
Merc Benz Vans - Klaus Oster
Daimler buses - Thomas Meier",,,3m
,1617,Daimler,Auto,Infosys,11/2/2018,,Safety & Operations,Safety IoT app / Plant Environmental Monitoring by installing sensors and cameras to monitor the environment in which machines run such that plant personnel can be alerted via phone / tablet when an unsafe event occurs / before it occurs or IoT platform can proactively refocus devices (e.g. rotate cameras to record an out-of-scope event or potential fire condition) to achieve better safety conditions within the plant ,,23,"Passenger Vehicles: Inga von Bibra 
Merc benz trucks - Yoerg Schwuthow
DTNA and Freightliner -- Lutz Beck
Merc Benz Vans - Klaus Oster
Daimler buses - Thomas Meier",,,>6m
